table,column,dataset_id,semanticType,predicted_semantic_type
MLB_24,column_37,MLB_24+column_37,SO,H
MLB_24,column_42,MLB_24+column_42,TB,BB
MLB_24,column_44,MLB_24+column_44,X1B,HR
MLB_24,column_45,MLB_24+column_45,X2B,SH
MLB_24,column_46,MLB_24+column_46,X3B,X3B
MLB_25,column_58,MLB_25+column_58,year,year
MLB_25,column_0,MLB_25+column_0,AB,TB
MLB_25,column_4,MLB_25+column_4,BB,SB
MLB_25,column_18,MLB_25+column_18,GIDP,GIDP
MLB_25,column_20,MLB_25+column_20,HR,GIDP
MLB_25,column_21,MLB_25+column_21,H,SB
MLB_25,column_32,MLB_25+column_32,SF,SF
MLB_25,column_33,MLB_25+column_33,SH,SH
MLB_25,column_37,MLB_25+column_37,SO,SB
MLB_25,column_44,MLB_25+column_44,X1B,SB
MLB_25,column_45,MLB_25+column_45,X2B,HR
MLB_25,column_46,MLB_25+column_46,X3B,X3B
MLB_26,column_58,MLB_26+column_58,year,year
MLB_26,column_0,MLB_26+column_0,AB,TB
MLB_26,column_4,MLB_26+column_4,BB,SB
MLB_26,column_19,MLB_26+column_19,HBP,CS
MLB_26,column_20,MLB_26+column_20,HR,GIDP
MLB_26,column_21,MLB_26+column_21,H,SB
MLB_26,column_37,MLB_26+column_37,SO,SB
MLB_26,column_42,MLB_26+column_42,TB,X1B
MLB_26,column_45,MLB_26+column_45,X2B,HR
MLB_26,column_46,MLB_26+column_46,X3B,X3B
MLB_26,column_48,MLB_26+column_48,iBB,iBB
MLB_27,column_58,MLB_27+column_58,year,year
MLB_27,column_0,MLB_27+column_0,AB,TB
MLB_27,column_4,MLB_27+column_4,BB,SB
MLB_27,column_18,MLB_27+column_18,GIDP,GIDP
MLB_27,column_21,MLB_27+column_21,H,SB
MLB_27,column_33,MLB_27+column_33,SH,SH
MLB_27,column_37,MLB_27+column_37,SO,SB
MLB_27,column_42,MLB_27+column_42,TB,X1B
MLB_27,column_45,MLB_27+column_45,X2B,HR
MLB_27,column_46,MLB_27+column_46,X3B,X3B
MLB_28,column_58,MLB_28+column_58,year,year
MLB_28,column_0,MLB_28+column_0,AB,TB
MLB_28,column_4,MLB_28+column_4,BB,SB
MLB_28,column_18,MLB_28+column_18,GIDP,GIDP
MLB_28,column_19,MLB_28+column_19,HBP,CS
MLB_28,column_21,MLB_28+column_21,H,SB
MLB_28,column_32,MLB_28+column_32,SF,SF
MLB_28,column_37,MLB_28+column_37,SO,SB
MLB_28,column_42,MLB_28+column_42,TB,X1B
MLB_28,column_44,MLB_28+column_44,X1B,SB
MLB_28,column_45,MLB_28+column_45,X2B,HR
MLB_28,column_46,MLB_28+column_46,X3B,X3B
MLB_28,column_48,MLB_28+column_48,iBB,iBB
MLB_29,column_58,MLB_29+column_58,year,year
MLB_29,column_0,MLB_29+column_0,AB,TB
MLB_29,column_4,MLB_29+column_4,BB,SB
MLB_29,column_18,MLB_29+column_18,GIDP,GIDP
MLB_29,column_19,MLB_29+column_19,HBP,CS
MLB_29,column_21,MLB_29+column_21,H,SB
MLB_29,column_33,MLB_29+column_33,SH,SH
MLB_29,column_37,MLB_29+column_37,SO,SB
MLB_29,column_42,MLB_29+column_42,TB,X1B
MLB_29,column_44,MLB_29+column_44,X1B,SB
MLB_29,column_46,MLB_29+column_46,X3B,X3B
MLB_29,column_48,MLB_29+column_48,iBB,iBB
MLB_3,column_22,MLB_3+column_22,year,year
MLB_30,column_58,MLB_30+column_58,year,year
MLB_30,column_18,MLB_30+column_18,GIDP,GIDP
MLB_30,column_19,MLB_30+column_19,HBP,CS
MLB_30,column_20,MLB_30+column_20,HR,GIDP
MLB_30,column_21,MLB_30+column_21,H,SB
MLB_30,column_32,MLB_30+column_32,SF,SF
MLB_30,column_33,MLB_30+column_33,SH,SH
MLB_30,column_42,MLB_30+column_42,TB,X1B
MLB_30,column_44,MLB_30+column_44,X1B,SB
MLB_30,column_48,MLB_30+column_48,iBB,iBB
MLB_31,column_0,MLB_31+column_0,AB,AB
MLB_31,column_18,MLB_31+column_18,HBP,SH
MLB_31,column_20,MLB_31+column_20,H,SO
MLB_31,column_32,MLB_31+column_32,SF,SH
MLB_31,column_37,MLB_31+column_37,SO,SO
MLB_31,column_42,MLB_31+column_42,TB,TB
MLB_31,column_44,MLB_31+column_44,X1B,X1B
MLB_31,column_45,MLB_31+column_45,X2B,HBP
MLB_31,column_46,MLB_31+column_46,X3B,SF
MLB_32,column_17,MLB_32+column_17,GIDP,HBP
MLB_32,column_20,MLB_32+column_20,H,SO
MLB_32,column_32,MLB_32+column_32,SF,SH
MLB_32,column_33,MLB_32+column_33,SH,GIDP
MLB_32,column_37,MLB_32+column_37,SO,SO
MLB_32,column_42,MLB_32+column_42,TB,TB
MLB_32,column_45,MLB_32+column_45,X2B,HBP
MLB_32,column_46,MLB_32+column_46,X3B,SF
MLB_32,column_48,MLB_32+column_48,iBB,X3B
MLB_33,column_0,MLB_33+column_0,AB,AB
MLB_33,column_4,MLB_33+column_4,BB,BB
MLB_33,column_17,MLB_33+column_17,GIDP,HBP
MLB_33,column_18,MLB_33+column_18,HBP,SH
MLB_33,column_20,MLB_33+column_20,H,SO
MLB_33,column_32,MLB_33+column_32,SF,SH
MLB_33,column_33,MLB_33+column_33,SH,GIDP
MLB_33,column_37,MLB_33+column_37,SO,SO
MLB_33,column_44,MLB_33+column_44,X1B,X1B
MLB_33,column_45,MLB_33+column_45,X2B,HBP
MLB_33,column_46,MLB_33+column_46,X3B,SF
MLB_33,column_48,MLB_33+column_48,iBB,X3B
MLB_34,column_57,MLB_34+column_57,year,year
MLB_34,column_4,MLB_34+column_4,BB,BB
MLB_34,column_17,MLB_34+column_17,GIDP,HBP
MLB_34,column_18,MLB_34+column_18,HBP,SH
MLB_34,column_19,MLB_34+column_19,HR,HBP
MLB_34,column_20,MLB_34+column_20,H,SO
MLB_34,column_33,MLB_34+column_33,SH,GIDP
MLB_34,column_37,MLB_34+column_37,SO,SO
MLB_34,column_42,MLB_34+column_42,TB,TB
MLB_34,column_44,MLB_34+column_44,X1B,X1B
MLB_34,column_45,MLB_34+column_45,X2B,HBP
MLB_35,column_57,MLB_35+column_57,year,year
MLB_35,column_0,MLB_35+column_0,AB,AB
MLB_35,column_17,MLB_35+column_17,GIDP,HBP
MLB_35,column_19,MLB_35+column_19,HR,HBP
MLB_35,column_20,MLB_35+column_20,H,SO
MLB_35,column_32,MLB_35+column_32,SF,SH
MLB_35,column_33,MLB_35+column_33,SH,GIDP
MLB_35,column_42,MLB_35+column_42,TB,TB
MLB_35,column_46,MLB_35+column_46,X3B,SF
MLB_35,column_48,MLB_35+column_48,iBB,X3B
MLB_36,column_57,MLB_36+column_57,year,year
MLB_36,column_4,MLB_36+column_4,BB,BB
MLB_36,column_17,MLB_36+column_17,GIDP,HBP
MLB_36,column_19,MLB_36+column_19,HR,HBP
MLB_36,column_20,MLB_36+column_20,H,SO
MLB_36,column_32,MLB_36+column_32,SF,SH
MLB_36,column_37,MLB_36+column_37,SO,SO
MLB_36,column_42,MLB_36+column_42,TB,TB
MLB_36,column_44,MLB_36+column_44,X1B,X1B
MLB_36,column_45,MLB_36+column_45,X2B,HBP
MLB_36,column_46,MLB_36+column_46,X3B,SF
MLB_36,column_48,MLB_36+column_48,iBB,X3B
MLB_37,column_57,MLB_37+column_57,year,year
MLB_37,column_0,MLB_37+column_0,AB,AB
MLB_37,column_4,MLB_37+column_4,BB,BB
MLB_37,column_18,MLB_37+column_18,HBP,SH
MLB_37,column_19,MLB_37+column_19,HR,HBP
MLB_37,column_20,MLB_37+column_20,H,SO
MLB_37,column_32,MLB_37+column_32,SF,SH
MLB_37,column_33,MLB_37+column_33,SH,GIDP
MLB_37,column_37,MLB_37+column_37,SO,SO
MLB_37,column_42,MLB_37+column_42,TB,TB
MLB_37,column_44,MLB_37+column_44,X1B,X1B
MLB_37,column_45,MLB_37+column_45,X2B,HBP
MLB_37,column_46,MLB_37+column_46,X3B,SF
MLB_38,column_46,MLB_38+column_46,year,year
MLB_38,column_0,MLB_38+column_0,AB,TB
MLB_38,column_4,MLB_38+column_4,BB,HR
MLB_38,column_11,MLB_38+column_11,GIDP,GIDP
MLB_38,column_12,MLB_38+column_12,HBP,SH
MLB_38,column_13,MLB_38+column_13,HR,SH
MLB_38,column_14,MLB_38+column_14,H,SB
MLB_38,column_24,MLB_38+column_24,SF,X3B
MLB_38,column_30,MLB_38+column_30,TB,X1B
MLB_38,column_32,MLB_38+column_32,X1B,HR
MLB_38,column_33,MLB_38+column_33,X2B,HR
MLB_38,column_34,MLB_38+column_34,X3B,X3B
MLB_38,column_36,MLB_38+column_36,iBB,iBB
MLB_39,column_46,MLB_39+column_46,year,year
MLB_39,column_0,MLB_39+column_0,AB,TB
MLB_39,column_4,MLB_39+column_4,BB,HR
MLB_39,column_11,MLB_39+column_11,GIDP,GIDP
MLB_39,column_12,MLB_39+column_12,HBP,SH
MLB_39,column_14,MLB_39+column_14,H,SB
MLB_39,column_24,MLB_39+column_24,SF,X3B
MLB_39,column_25,MLB_39+column_25,SH,SH
MLB_39,column_29,MLB_39+column_29,SO,SB
MLB_39,column_30,MLB_39+column_30,TB,X1B
MLB_39,column_33,MLB_39+column_33,X2B,HR
MLB_39,column_34,MLB_39+column_34,X3B,X3B
MLB_39,column_36,MLB_39+column_36,iBB,iBB
MLB_4,column_22,MLB_4+column_22,year,year
MLB_40,column_0,MLB_40+column_0,AB,TB
MLB_40,column_4,MLB_40+column_4,BB,HR
MLB_40,column_11,MLB_40+column_11,GIDP,GIDP
MLB_40,column_12,MLB_40+column_12,HBP,SH
MLB_40,column_13,MLB_40+column_13,HR,SH
MLB_40,column_14,MLB_40+column_14,H,SB
MLB_40,column_24,MLB_40+column_24,SF,X3B
MLB_40,column_29,MLB_40+column_29,SO,SB
MLB_40,column_30,MLB_40+column_30,TB,X1B
MLB_40,column_32,MLB_40+column_32,X1B,HR
MLB_40,column_33,MLB_40+column_33,X2B,HR
MLB_40,column_34,MLB_40+column_34,X3B,X3B
MLB_40,column_36,MLB_40+column_36,iBB,iBB
MLB_41,column_55,MLB_41+column_55,year,year
MLB_41,column_0,MLB_41+column_0,AB,AB
MLB_41,column_17,MLB_41+column_17,GIDP,HR
MLB_41,column_18,MLB_41+column_18,HBP,None
MLB_41,column_19,MLB_41+column_19,HR,HR
MLB_41,column_20,MLB_41+column_20,H,H
MLB_41,column_32,MLB_41+column_32,SH,GIDP
MLB_41,column_36,MLB_41+column_36,SO,SO
MLB_41,column_39,MLB_41+column_39,TB,SO
MLB_41,column_42,MLB_41+column_42,X2B,SB
MLB_41,column_43,MLB_41+column_43,X3B,SH
MLB_42,column_55,MLB_42+column_55,year,year
MLB_42,column_0,MLB_42+column_0,AB,AB
MLB_42,column_18,MLB_42+column_18,HBP,None
MLB_42,column_20,MLB_42+column_20,H,H
MLB_42,column_31,MLB_42+column_31,SF,GIDP
MLB_42,column_32,MLB_42+column_32,SH,GIDP
MLB_42,column_36,MLB_42+column_36,SO,SO
MLB_42,column_39,MLB_42+column_39,TB,SO
MLB_42,column_41,MLB_42+column_41,X1B,X1B
MLB_42,column_42,MLB_42+column_42,X2B,SB
MLB_42,column_43,MLB_42+column_43,X3B,SH
MLB_42,column_46,MLB_42+column_46,iBB,None
MLB_43,column_55,MLB_43+column_55,year,year
MLB_43,column_4,MLB_43+column_4,BB,None
MLB_43,column_17,MLB_43+column_17,GIDP,HR
MLB_43,column_18,MLB_43+column_18,HBP,None
MLB_43,column_31,MLB_43+column_31,SF,GIDP
MLB_43,column_36,MLB_43+column_36,SO,SO
MLB_43,column_41,MLB_43+column_41,X1B,X1B
MLB_43,column_42,MLB_43+column_42,X2B,SB
MLB_43,column_43,MLB_43+column_43,X3B,SH
MLB_44,column_0,MLB_44+column_0,AB,AB
MLB_44,column_4,MLB_44+column_4,BB,None
MLB_44,column_17,MLB_44+column_17,GIDP,HR
MLB_44,column_18,MLB_44+column_18,HBP,None
MLB_44,column_19,MLB_44+column_19,HR,HR
MLB_44,column_31,MLB_44+column_31,SF,GIDP
MLB_44,column_39,MLB_44+column_39,TB,SO
MLB_44,column_41,MLB_44+column_41,X1B,X1B
MLB_44,column_42,MLB_44+column_42,X2B,SB
MLB_44,column_43,MLB_44+column_43,X3B,SH
MLB_44,column_46,MLB_44+column_46,iBB,None
MLB_45,column_63,MLB_45+column_63,year,year
MLB_45,column_0,MLB_45+column_0,AB,None
MLB_45,column_4,MLB_45+column_4,BB,X1B
MLB_45,column_9,MLB_45+column_9,CS,HBP
MLB_45,column_19,MLB_45+column_19,GIDP,BB
MLB_45,column_20,MLB_45+column_20,HBP,HBP
MLB_45,column_21,MLB_45+column_21,HR,HR
MLB_45,column_22,MLB_45+column_22,H,TB
MLB_45,column_47,MLB_45+column_47,TB,None
MLB_45,column_49,MLB_45+column_49,X1B,SO
MLB_45,column_51,MLB_45+column_51,X3B,X3B
MLB_45,column_54,MLB_45+column_54,iBB,SF
MLB_46,column_63,MLB_46+column_63,year,year
MLB_46,column_4,MLB_46+column_4,BB,X1B
MLB_46,column_9,MLB_46+column_9,CS,HBP
MLB_46,column_20,MLB_46+column_20,HBP,HBP
MLB_46,column_21,MLB_46+column_21,HR,HR
MLB_46,column_22,MLB_46+column_22,H,TB
MLB_46,column_34,MLB_46+column_34,R,R
MLB_46,column_36,MLB_46+column_36,SB,SB
MLB_46,column_37,MLB_46+column_37,SF,SH
MLB_46,column_38,MLB_46+column_38,SH,SH
MLB_46,column_42,MLB_46+column_42,SO,SO
MLB_46,column_47,MLB_46+column_47,TB,None
MLB_46,column_49,MLB_46+column_49,X1B,SO
MLB_46,column_54,MLB_46+column_54,iBB,SF
MLB_47,column_63,MLB_47+column_63,year,year
MLB_47,column_0,MLB_47+column_0,AB,None
MLB_47,column_4,MLB_47+column_4,BB,X1B
MLB_47,column_9,MLB_47+column_9,CS,HBP
MLB_47,column_21,MLB_47+column_21,HR,HR
MLB_47,column_22,MLB_47+column_22,H,TB
MLB_47,column_36,MLB_47+column_36,SB,SB
MLB_47,column_42,MLB_47+column_42,SO,SO
MLB_47,column_49,MLB_47+column_49,X1B,SO
MLB_47,column_50,MLB_47+column_50,X2B,H
MLB_47,column_54,MLB_47+column_54,iBB,SF
MLB_48,column_0,MLB_48+column_0,AB,None
MLB_48,column_4,MLB_48+column_4,BB,X1B
MLB_48,column_9,MLB_48+column_9,CS,HBP
MLB_48,column_19,MLB_48+column_19,GIDP,BB
MLB_48,column_20,MLB_48+column_20,HBP,HBP
MLB_48,column_22,MLB_48+column_22,H,TB
MLB_48,column_34,MLB_48+column_34,R,R
MLB_48,column_36,MLB_48+column_36,SB,SB
MLB_48,column_38,MLB_48+column_38,SH,SH
MLB_48,column_47,MLB_48+column_47,TB,None
MLB_48,column_54,MLB_48+column_54,iBB,SF
MLB_49,column_59,MLB_49+column_59,year,year
MLB_49,column_0,MLB_49+column_0,AB,None
MLB_49,column_4,MLB_49+column_4,BB,X1B
MLB_49,column_18,MLB_49+column_18,GIDP,BB
MLB_49,column_19,MLB_49+column_19,HBP,HBP
MLB_49,column_20,MLB_49+column_20,HR,HR
MLB_49,column_21,MLB_49+column_21,H,TB
MLB_49,column_32,MLB_49+column_32,SF,SH
MLB_49,column_33,MLB_49+column_33,SH,SH
MLB_49,column_37,MLB_49+column_37,SO,SO
MLB_49,column_44,MLB_49+column_44,X1B,SO
MLB_49,column_45,MLB_49+column_45,X2B,H
MLB_49,column_48,MLB_49+column_48,iBB,X3B
MLB_5,column_27,MLB_5+column_27,year,year
MLB_50,column_59,MLB_50+column_59,year,year
MLB_50,column_4,MLB_50+column_4,BB,X1B
MLB_50,column_19,MLB_50+column_19,HBP,HBP
MLB_50,column_20,MLB_50+column_20,HR,HR
MLB_50,column_21,MLB_50+column_21,H,TB
MLB_50,column_32,MLB_50+column_32,SF,SH
MLB_50,column_37,MLB_50+column_37,SO,SO
MLB_50,column_44,MLB_50+column_44,X1B,SO
MLB_50,column_46,MLB_50+column_46,X3B,X3B
MLB_50,column_48,MLB_50+column_48,iBB,X3B
MLB_51,column_0,MLB_51+column_0,AB,None
MLB_51,column_4,MLB_51+column_4,BB,X1B
MLB_51,column_18,MLB_51+column_18,GIDP,BB
MLB_51,column_19,MLB_51+column_19,HBP,HBP
MLB_51,column_21,MLB_51+column_21,H,TB
MLB_51,column_32,MLB_51+column_32,SF,SH
MLB_51,column_42,MLB_51+column_42,TB,None
MLB_51,column_45,MLB_51+column_45,X2B,H
MLB_51,column_46,MLB_51+column_46,X3B,X3B
MLB_51,column_48,MLB_51+column_48,iBB,X3B
MLB_52,column_15,MLB_52+column_15,year,year
MLB_53,column_63,MLB_53+column_63,year,year
MLB_53,column_0,MLB_53+column_0,AB,None
MLB_53,column_4,MLB_53+column_4,BB,BB
MLB_53,column_19,MLB_53+column_19,GIDP,HBP
MLB_53,column_20,MLB_53+column_20,HBP,X3B
MLB_53,column_21,MLB_53+column_21,HR,HBP
MLB_53,column_22,MLB_53+column_22,H,SO
MLB_53,column_34,MLB_53+column_34,R,None
MLB_53,column_36,MLB_53+column_36,SB,HBP
MLB_53,column_38,MLB_53+column_38,SH,SF
MLB_53,column_42,MLB_53+column_42,SO,SO
MLB_53,column_47,MLB_53+column_47,TB,TB
MLB_53,column_49,MLB_53+column_49,X1B,None
MLB_53,column_50,MLB_53+column_50,X2B,None
MLB_53,column_53,MLB_53+column_53,iBB,iBB
MLB_54,column_63,MLB_54+column_63,year,year
